Title,Forename,Surname,Address 1,Address 2,Address 3,Address 4,Zip code,son/daughter 
Mrs,Julie,Andrews,16 School Lane,Beachside Boulevard,Tawara,,4309,daughter
Mrs,Annie,Rennie,1723 East Street,Dockside,Port Peppard,Tawara,4309,daughter
Mrs,Tracy,Royle,1 Moon Close,Cross Keys,Tawara,,4309,daughter
Mrs,Summer,Kacaratchi,841 East Street,Dockside,Port Peppard,Tawara,4309,daughter
Mrs,Karoline,Strauss,12 Ryeland Street,Tanley,Tawara,,4309,daughter
Mrs,Sandra,Cooper,24 Sea View Terrace,Beachside Close,Appleton,Tawara,4308,daughter
Mr,Stuart,Davies,Malt Cottage,Maltings Lane,Eccleshill,Tawara,4309,son
Mrs,Jens,Maloi,Barley Mow,Distillery Lane,Dunescroft,Tawara,4309,daughter
Mrs,Claire,Turner,Cloverleaf,East View,Stannerley,Tawara,4306,daughter
Mrs,Karla,Maier,Flat 16 The Grove,East Hill,Dunescroft,Tawara,4306,daughter
Mrs,Amy,Nichols,Clifftops,Beachside Boulevard,Tawara,,4309,daughter
Mrs,Antonio,Rangel,16 The Close,Twin Track Lane,Port Peppard,Tawara,4309,daughter
Mr,Dietmar,Strauss,Flat 4,Mill Lane,Tawara,,4309,son
Mr,Graham,White,23 Westside,Dockside,Port Peppard,Tawara,4309,son
Mrs,Kratika,Gupta,Marquis Mansion,Dudley,Tawara,,4309,daughter
Mr,Didier,Watson,22 Sea View Terrace,Beachside Close,Appleton,Tawara,4308,son
Mrs,Olga,Schneider,631 Beach Front,Beachside Boulevard,Tawara,,4309,daughter
Mr,Peter,Perfection,15 East Street,Dockside,Port Peppard,Tawara,4309,son
Mr,Tomas,Jacobs,Yazmin House,Brookside,Tawara,,4309,son
Mr,Elliot,Cotterill,3 High Street,Dockside,Port Peppard,Tawara,4309,son
Mr,Siddharth,Gad,21 High Street,Tanley,Tawara,,4309,son
Mrs,Holly,Chase,42 Acacia Avenue,White City,Appleton,Tawara,4309,daughter
Mr,Peter,Kelly,Old brewery,Head Street,Eccleshill,Tawara,4309,son
Mrs,Pat,Pushing,16 Goat Hill,Stanway,Dunescroft,Tawara,4306,daughter
Mr,Louis,Claes,Elm Tree Cottage,Eight Ash Green,Stannerley,Tawara,4306,son
