Forename,Clubs attended,House
Bethany,1,Red
Jovy,1,Blue
Umpala,0,Red
Lilik,5,Blue
Jasmine,0,Red
Siodena,8,Red
Jamal,0,Yellow
Dikpah,21,Red
Geraldene,0,Blue
Kristy,0,Yellow
Hartati,12,Green
Ahmed,0,Yellow
Silvia,3,Green
Francesca,0,Yellow
Lee,1,Yellow
Yolanda,2,Blue
Dynalyn,0,Yellow
Margie,6,Yellow
Neti,5,Yellow
Hazel,0,Yellow
Sam,7,Blue
Edna,0,Blue
Thirumalar,14,Yellow
Pauline,2,Red
Gwynn,0,Red
Duncan,4,Blue
Sukrit,0,Blue
Aminat,7,Red
Udoka,0,Green
Muyunda,2,Green
Milade,2,Yellow
Milana,1,Red
Brianna,14,Blue
,,
Clubs attended by people in:,,
Red,,
Blue,,
Yellow,,
Green,,
